Plant ID;datetime;Value;meter;date;Date (start);Meter;Interval
GRGT;01/02/2023;968841.8333333334;GRGT-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
GRPL;01/02/2023;1559620.0;GRPL-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
GUIL;01/02/2023;1330225.5;GUIL-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
GUIL;01/02/2023;2072145.5;GUIL-SS02-P;2023-02-01;01/02/2023;Utility Statement;Monthly
HENI;01/02/2023;855647.5;HENI-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
HERO;01/02/2023;839582.3333333334;HERO-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
JADE;01/02/2023;1179995.3333333333;JADE-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
JON2;01/02/2023;857444.1666666666;JON2-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
JONC;01/02/2023;1756956.3333333333;JONC-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
LBDF;01/02/2023;944289.1666666666;LBDF-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
CARN;01/02/2023;2192985.6666666665;CARN-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
CARN;01/02/2023;2152241.5;CARN-SS02-P;2023-02-01;01/02/2023;Utility Statement;Monthly
HAB1;01/02/2023;1764278.6666666667;HAB1-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
HAB2;01/02/2023;1519565.5;HAB2-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
NOUR;01/02/2023;1023653.6666666666;NOUR-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
LAPI;01/02/2023;1187535.1666666667;LAPI-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
LAGN;01/02/2023;246202.5;LAGN-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
LDTE;01/02/2023;1006110.8333333334;LDTE-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
