Plant ID;Date (start);Interval;Meter;Value
MACH;01/12/2022;Monthly;OEM Availability;97.834
TRAY;01/12/2022;Monthly;OEM Availability;94.8245
PLAN;01/12/2022;Monthly;OEM Availability;99.839
LBDF;01/01/2023;Monthly;OEM Availability;98.91639
LDTE;01/01/2023;Monthly;OEM Availability;100.0
MACH;01/01/2023;Monthly;OEM Availability;96.0759
TRAY;01/01/2023;Monthly;OEM Availability;98.9089
PLAN;01/01/2023;Monthly;OEM Availability;99.61
LBDF;01/02/2023;Monthly;OEM Availability;99.61635
LDTE;01/02/2023;Monthly;OEM Availability;100.0
MACH;01/02/2023;Monthly;OEM Availability;98.74617
TRAY;01/02/2023;Monthly;OEM Availability;87.66463
PLAN;01/02/2023;Monthly;OEM Availability;99.903
LBDF;01/03/2023;Monthly;OEM Availability;99.05827
LDTE;01/03/2023;Monthly;OEM Availability;100.0
MACH;01/03/2023;Monthly;OEM Availability;92.92527
TRAY;01/03/2023;Monthly;OEM Availability;97.1306
PLAN;01/03/2023;Monthly;OEM Availability;100.0
LBDF;01/04/2023;Monthly;OEM Availability;97.96718
LDTE;01/04/2023;Monthly;OEM Availability;100.0
MACH;01/04/2023;Monthly;OEM Availability;94.38633
TRAY;01/04/2023;Monthly;OEM Availability;94.42706
PLAN;01/04/2023;Monthly;OEM Availability;99.964
LBDF;01/05/2023;Monthly;OEM Availability;97.21153
LDTE;01/05/2023;Monthly;OEM Availability;100.0
MACH;01/05/2023;Monthly;OEM Availability;97.20899
TRAY;01/05/2023;Monthly;OEM Availability;98.37793
PLAN;01/05/2023;Monthly;OEM Availability;99.979
LBDF;01/06/2023;Monthly;OEM Availability;97.95617
LDTE;01/06/2023;Monthly;OEM Availability;100.0
MACH;01/06/2023;Monthly;OEM Availability;98.23806
TRAY;01/06/2023;Monthly;OEM Availability;93.8541
PLAN;01/06/2023;Monthly;OEM Availability;99.934
LBDF;01/07/2023;Monthly;OEM Availability;96.26227
LDTE;01/07/2023;Monthly;OEM Availability;100.0
MACH;01/07/2023;Monthly;OEM Availability;95.42579
TRAY;01/07/2023;Monthly;OEM Availability;72.6668
LBDF;01/01/2022;Monthly;Operational Hours;15596601.56
LDTE;01/01/2022;Monthly;Operational Hours;11950015.654
MACH;01/01/2022;Monthly;Operational Hours;10281781.85
TRAY;01/01/2022;Monthly;Operational Hours;10930438.59
