Date (start);Interval;Meter;Value;Plant ID
01/10/2022;Monthly;Consumption;-2582.221;JONC-ECP001-METER001
01/10/2022;Monthly;Consumption;12384.333;ROUS-ECP0001-METER001
01/10/2022;Monthly;Consumption;91615.644;VARA-ECP001-METER001
01/11/2022;Monthly;Consumption;163.028;BVER-ECP001-METER001
01/11/2022;Monthly;Consumption;67282.048;CHPI-ECP001-METER001
01/11/2022;Monthly;Consumption;10447.998;FIEN-ECP001-METER001
01/11/2022;Monthly;Consumption;-1043.034;JAVI-ECP001-METER001
01/11/2022;Monthly;Consumption;0.0;JONC-ECP001-METER001
01/11/2022;Monthly;Consumption;763.492;ROUS-ECP0001-METER001
01/11/2022;Monthly;Consumption;54003.353;VARA-ECP001-METER001
01/12/2022;Monthly;Consumption;1911.541;BVER-ECP001-METER001
01/12/2022;Monthly;Consumption;-10166.306;CHPI-ECP001-METER001
01/12/2022;Monthly;Consumption;1474.333;FIEN-ECP001-METER001
01/12/2022;Monthly;Consumption;-1421.886;JAVI-ECP001-METER001
01/12/2022;Monthly;Consumption;0.0;JONC-ECP001-METER001
01/12/2022;Monthly;Consumption;3361.911;ROUS-ECP0001-METER001
01/12/2022;Monthly;Consumption;1067.861;VARA-ECP001-METER001
01/01/2023;Monthly;Consumption;7251.456;ANPA-ECP001-METER001
01/01/2023;Monthly;Consumption;769.43;BVER-ECP001-METER001
01/01/2023;Monthly;Consumption;-42402.007;CHPI-ECP001-METER001
01/01/2023;Monthly;Consumption;552.498;FIEN-ECP001-METER001
01/01/2023;Monthly;Consumption;1538.808;JAVI-ECP001-METER001
01/01/2023;Monthly;Consumption;0.0;JONC-ECP001-METER001
01/01/2023;Monthly;Consumption;60659.259;ROUS-ECP0001-METER001
01/01/2023;Monthly;Consumption;4265.511;VARA-ECP001-METER001
01/02/2023;Monthly;Consumption;25201.509;ANPA-ECP001-METER001
01/02/2023;Monthly;Consumption;290.248;BVER-ECP001-METER001
01/02/2023;Monthly;Consumption;-60955.066;CHPI-ECP001-METER001
01/02/2023;Monthly;Consumption;8.499;FIEN-ECP001-METER001
01/02/2023;Monthly;Consumption;-6764.134;JAVI-ECP001-METER001
01/02/2023;Monthly;Consumption;0.0;JONC-ECP001-METER001
01/02/2023;Monthly;Consumption;99.929;ROUS-ECP0001-METER001
01/02/2023;Monthly;Consumption;10073.176;VARA-ECP001-METER001
01/03/2023;Monthly;Consumption;52194.692;ANPA-ECP001-METER001
01/03/2023;Monthly;Consumption;609.92;BVER-ECP001-METER001
01/03/2023;Monthly;Consumption;-36572.439;CHPI-ECP001-METER001
01/03/2023;Monthly;Consumption;38.502;FIEN-ECP001-METER001
01/03/2023;Monthly;Consumption;186949.56;JAVI-ECP001-METER001
01/03/2023;Monthly;Consumption;-3251.705;JONC-ECP001-METER001
01/03/2023;Monthly;Consumption;1475.329;ROUS-ECP0001-METER001
01/03/2023;Monthly;Consumption;47466.607;VARA-ECP001-METER001
01/04/2023;Monthly;Consumption;9355.974;ANPA-ECP001-METER001
01/04/2023;Monthly;Consumption;313.998;BVER-ECP001-METER001
01/04/2023;Monthly;Consumption;-56108.465;CHPI-ECP001-METER001
01/04/2023;Monthly;Consumption;9.334;FIEN-ECP001-METER001
01/04/2023;Monthly;Consumption;-545.07;JAVI-ECP001-METER001
01/04/2023;Monthly;Consumption;-4044.774;JONC-ECP001-METER001
01/04/2023;Monthly;Consumption;1863.631;ROUS-ECP0001-METER001
01/04/2023;Monthly;Consumption;26008.218;VARA-ECP001-METER001
01/05/2023;Monthly;Consumption;11085.542;ANPA-ECP001-METER001
01/05/2023;Monthly;Consumption;1278.036;BVER-ECP001-METER001
01/05/2023;Monthly;Consumption;-68540.539;CHPI-ECP001-METER001
01/05/2023;Monthly;Consumption;20.832;FIEN-ECP001-METER001
01/05/2023;Monthly;Consumption;-8970.335;JAVI-ECP001-METER001
01/05/2023;Monthly;Consumption;-4859.924;JONC-ECP001-METER001
01/05/2023;Monthly;Consumption;4340.332;ROUS-ECP0001-METER001
01/05/2023;Monthly;Consumption;12148.672;VARA-ECP001-METER001
01/06/2023;Monthly;Consumption;1222.042;ANPA-ECP001-METER001
01/06/2023;Monthly;Consumption;78.609;BVER-ECP001-METER001
01/06/2023;Monthly;Consumption;-122220.54;CHPI-ECP001-METER001
01/06/2023;Monthly;Consumption;758.0;FIEN-ECP001-METER001
01/06/2023;Monthly;Consumption;-17096.089;JAVI-ECP001-METER001
01/06/2023;Monthly;Consumption;-7961.904;JONC-ECP001-METER001
01/06/2023;Monthly;Consumption;422.618;ROUS-ECP0001-METER001
01/06/2023;Monthly;Consumption;-9640.808;VARA-ECP001-METER001
01/07/2023;Monthly;Consumption;71.771;ANPA-ECP001-METER001
01/07/2023;Monthly;Consumption;0.0;BVER-ECP001-METER001
01/07/2023;Monthly;Consumption;-170756.836;CHPI-ECP001-METER001
01/07/2023;Monthly;Consumption;1.167;FIEN-ECP001-METER001
01/07/2023;Monthly;Consumption;-21820.862;JAVI-ECP001-METER001
01/07/2023;Monthly;Consumption;-8860.714;JONC-ECP001-METER001
01/07/2023;Monthly;Consumption;-0.197;ROUS-ECP0001-METER001
01/07/2023;Monthly;Consumption;-8784.214;VARA-ECP001-METER001
01/01/2022;Monthly;Gross Generation;1959307.94;BVER-ECP001-METER001
01/01/2022;Monthly;Gross Generation;10103267.153;CHPI-ECP001-METER001
01/01/2022;Monthly;Gross Generation;2188872.353;FIEN-ECP001-METER001
01/01/2022;Monthly;Gross Generation;2881537.734;JAVI-ECP001-METER001
01/01/2022;Monthly;Gross Generation;999574.415;JONC-ECP001-METER001
01/01/2022;Monthly;Gross Generation;2928423.584;ROUS-ECP0001-METER001
01/01/2022;Monthly;Gross Generation;0.0;VARA-ECP001-METER001
01/02/2022;Monthly;Gross Generation;2977150.584;BVER-ECP001-METER001
01/02/2022;Monthly;Gross Generation;21858983.279;CHPI-ECP001-METER001
01/02/2022;Monthly;Gross Generation;3732298.521;FIEN-ECP001-METER001
01/02/2022;Monthly;Gross Generation;3609357.787;JAVI-ECP001-METER001
01/02/2022;Monthly;Gross Generation;0.0;JONC-ECP001-METER001
01/02/2022;Monthly;Gross Generation;3358862.395;ROUS-ECP0001-METER001
01/02/2022;Monthly;Gross Generation;1520544.816;VARA-ECP001-METER001
01/03/2022;Monthly;Gross Generation;1635861.439;BVER-ECP001-METER001
01/03/2022;Monthly;Gross Generation;15854165.27;CHPI-ECP001-METER001
01/03/2022;Monthly;Gross Generation;1636403.128;FIEN-ECP001-METER001
01/03/2022;Monthly;Gross Generation;3155457.601;JAVI-ECP001-METER001
01/03/2022;Monthly;Gross Generation;0.0;JONC-ECP001-METER001
01/03/2022;Monthly;Gross Generation;4193926.144;ROUS-ECP0001-METER001
01/03/2022;Monthly;Gross Generation;2761411.777;VARA-ECP001-METER001
01/04/2022;Monthly;Gross Generation;1669898.221;BVER-ECP001-METER001
01/04/2022;Monthly;Gross Generation;16064281.409;CHPI-ECP001-METER001
01/04/2022;Monthly;Gross Generation;1702794.06;FIEN-ECP001-METER001
01/04/2022;Monthly;Gross Generation;2699566.02;JAVI-ECP001-METER001
01/04/2022;Monthly;Gross Generation;26722.425;JONC-ECP001-METER001
01/04/2022;Monthly;Gross Generation;2680026.565;ROUS-ECP0001-METER001
01/04/2022;Monthly;Gross Generation;2002526.501;VARA-ECP001-METER001
01/05/2022;Monthly;Gross Generation;1436809.152;BVER-ECP001-METER001
01/05/2022;Monthly;Gross Generation;7274013.05;CHPI-ECP001-METER001
01/05/2022;Monthly;Gross Generation;1721995.35;FIEN-ECP001-METER001
01/05/2022;Monthly;Gross Generation;1868578.236;JAVI-ECP001-METER001
01/05/2022;Monthly;Gross Generation;327545.544;JONC-ECP001-METER001
01/05/2022;Monthly;Gross Generation;1974819.953;ROUS-ECP0001-METER001
01/05/2022;Monthly;Gross Generation;1334992.831;VARA-ECP001-METER001
01/06/2022;Monthly;Gross Generation;1362714.8;BVER-ECP001-METER001
01/06/2022;Monthly;Gross Generation;3815703.225;CHPI-ECP001-METER001
01/06/2022;Monthly;Gross Generation;1644306.689;FIEN-ECP001-METER001
01/06/2022;Monthly;Gross Generation;1718382.805;JAVI-ECP001-METER001
01/06/2022;Monthly;Gross Generation;270833.532;JONC-ECP001-METER001
01/06/2022;Monthly;Gross Generation;1173369.625;ROUS-ECP0001-METER001
01/06/2022;Monthly;Gross Generation;903786.361;VARA-ECP001-METER001
01/07/2022;Monthly;Gross Generation;1053902.517;BVER-ECP001-METER001
01/07/2022;Monthly;Gross Generation;5691181.397;CHPI-ECP001-METER001
01/07/2022;Monthly;Gross Generation;1266070.032;FIEN-ECP001-METER001
01/07/2022;Monthly;Gross Generation;2116103.198;JAVI-ECP001-METER001
01/07/2022;Monthly;Gross Generation;1241819.082;JONC-ECP001-METER001
01/07/2022;Monthly;Gross Generation;1703691.905;ROUS-ECP0001-METER001
01/07/2022;Monthly;Gross Generation;1514000.721;VARA-ECP001-METER001
01/08/2022;Monthly;Gross Generation;1163930.862;BVER-ECP001-METER001
01/08/2022;Monthly;Gross Generation;7043176.457;CHPI-ECP001-METER001
01/08/2022;Monthly;Gross Generation;1209337.507;FIEN-ECP001-METER001
01/08/2022;Monthly;Gross Generation;1566872.779;JAVI-ECP001-METER001
01/08/2022;Monthly;Gross Generation;1011470.384;JONC-ECP001-METER001
01/08/2022;Monthly;Gross Generation;1624810.844;ROUS-ECP0001-METER001
01/08/2022;Monthly;Gross Generation;1661184.257;VARA-ECP001-METER001
01/09/2022;Monthly;Gross Generation;1449416.69;BVER-ECP001-METER001
01/09/2022;Monthly;Gross Generation;7750154.233;CHPI-ECP001-METER001
01/09/2022;Monthly;Gross Generation;1199001.677;FIEN-ECP001-METER001
01/09/2022;Monthly;Gross Generation;2269523.556;JAVI-ECP001-METER001
01/09/2022;Monthly;Gross Generation;1466805.314;JONC-ECP001-METER001
01/09/2022;Monthly;Gross Generation;1900653.452;ROUS-ECP0001-METER001
01/09/2022;Monthly;Gross Generation;1629589.867;VARA-ECP001-METER001
01/10/2022;Monthly;Gross Generation;1935645.538;BVER-ECP001-METER001
01/10/2022;Monthly;Gross Generation;11159251.73;CHPI-ECP001-METER001
01/10/2022;Monthly;Gross Generation;2727867.854;FIEN-ECP001-METER001
01/10/2022;Monthly;Gross Generation;2331566.81;JAVI-ECP001-METER001
01/10/2022;Monthly;Gross Generation;236953.473;JONC-ECP001-METER001
01/10/2022;Monthly;Gross Generation;4141087.49;ROUS-ECP0001-METER001
01/10/2022;Monthly;Gross Generation;2203832.251;VARA-ECP001-METER001
01/11/2022;Monthly;Gross Generation;2641872.709;BVER-ECP001-METER001
01/11/2022;Monthly;Gross Generation;16126504.273;CHPI-ECP001-METER001
01/11/2022;Monthly;Gross Generation;3552672.921;FIEN-ECP001-METER001
01/11/2022;Monthly;Gross Generation;1086567.067;JAVI-ECP001-METER001
01/11/2022;Monthly;Gross Generation;0.0;JONC-ECP001-METER001
01/11/2022;Monthly;Gross Generation;4401757.156;ROUS-ECP0001-METER001
01/11/2022;Monthly;Gross Generation;2469971.543;VARA-ECP001-METER001
01/12/2022;Monthly;Gross Generation;2247133.514;BVER-ECP001-METER001
01/12/2022;Monthly;Gross Generation;13995265.737;CHPI-ECP001-METER001
01/12/2022;Monthly;Gross Generation;2761082.6;FIEN-ECP001-METER001
01/12/2022;Monthly;Gross Generation;2480101.164;JAVI-ECP001-METER001
01/12/2022;Monthly;Gross Generation;0.0;JONC-ECP001-METER001
01/12/2022;Monthly;Gross Generation;4713389.463;ROUS-ECP0001-METER001
01/12/2022;Monthly;Gross Generation;3239852.425;VARA-ECP001-METER001
01/01/2023;Monthly;Gross Generation;3565593.039;ANPA-ECP001-METER001
01/01/2023;Monthly;Gross Generation;2018529.243;BVER-ECP001-METER001
