Plant ID;Date (start);Interval;Meter;Value
BVER-ECP001-METER001;01/09/2021;Monthly;Forecast Generation;1534528.0
BVER-ECP001-METER001;01/10/2021;Monthly;Forecast Generation;1750321.0
BVER-ECP001-METER001;01/11/2021;Monthly;Forecast Generation;2445654.0
BVER-ECP001-METER001;01/12/2021;Monthly;Forecast Generation;2038045.0
JONC-ECP001-METER001;01/01/2021;Monthly;Forecast Generation;3251835.2
JONC-ECP001-METER001;01/02/2021;Monthly;Forecast Generation;3146608.8
JONC-ECP001-METER001;01/03/2021;Monthly;Forecast Generation;3659163.2
JONC-ECP001-METER001;01/04/2021;Monthly;Forecast Generation;2498278.4
JONC-ECP001-METER001;01/05/2021;Monthly;Forecast Generation;2678181.6
JONC-ECP001-METER001;01/06/2021;Monthly;Forecast Generation;2311586.4
JONC-ECP001-METER001;01/07/2021;Monthly;Forecast Generation;2304797.6
JONC-ECP001-METER001;01/08/2021;Monthly;Forecast Generation;2562772.0
JONC-ECP001-METER001;01/09/2021;Monthly;Forecast Generation;2202965.6
JONC-ECP001-METER001;01/10/2021;Monthly;Forecast Generation;2800380.0
JONC-ECP001-METER001;01/11/2021;Monthly;Forecast Generation;3516598.4
JONC-ECP001-METER001;01/12/2021;Monthly;Forecast Generation;3010832.8
CHPI-ECP001-METER001;01/01/2021;Monthly;Forecast Generation;18126700.0
CHPI-ECP001-METER001;01/02/2021;Monthly;Forecast Generation;17128900.0
CHPI-ECP001-METER001;01/03/2021;Monthly;Forecast Generation;16131100.0
CHPI-ECP001-METER001;01/04/2021;Monthly;Forecast Generation;13470300.0
CHPI-ECP001-METER001;01/05/2021;Monthly;Forecast Generation;12306200.0
CHPI-ECP001-METER001;01/06/2021;Monthly;Forecast Generation;10476900.0
CHPI-ECP001-METER001;01/07/2021;Monthly;Forecast Generation;9978000.0
CHPI-ECP001-METER001;01/08/2021;Monthly;Forecast Generation;9978000.0
CHPI-ECP001-METER001;01/09/2021;Monthly;Forecast Generation;11641000.0
CHPI-ECP001-METER001;01/10/2021;Monthly;Forecast Generation;14634400.0
CHPI-ECP001-METER001;01/11/2021;Monthly;Forecast Generation;15133300.0
CHPI-ECP001-METER001;01/12/2021;Monthly;Forecast Generation;17295200.0
JAVI-ECP001-METER001;01/01/2021;Monthly;Forecast Generation;3291300.0
JAVI-ECP001-METER001;01/02/2021;Monthly;Forecast Generation;3073950.0
JAVI-ECP001-METER001;01/03/2021;Monthly;Forecast Generation;3011850.0
JAVI-ECP001-METER001;01/04/2021;Monthly;Forecast Generation;2484000.0
JAVI-ECP001-METER001;01/05/2021;Monthly;Forecast Generation;2266650.0
JAVI-ECP001-METER001;01/06/2021;Monthly;Forecast Generation;1956150.0
JAVI-ECP001-METER001;01/07/2021;Monthly;Forecast Generation;1956150.0
JAVI-ECP001-METER001;01/08/2021;Monthly;Forecast Generation;1831950.0
JAVI-ECP001-METER001;01/09/2021;Monthly;Forecast Generation;2080350.0
JAVI-ECP001-METER001;01/10/2021;Monthly;Forecast Generation;2639250.0
JAVI-ECP001-METER001;01/11/2021;Monthly;Forecast Generation;3042900.0
JAVI-ECP001-METER001;01/12/2021;Monthly;Forecast Generation;3415500.0
LEMO-ECP001-METER001;01/01/2021;Monthly;Forecast Generation;4254480.0
LEMO-ECP001-METER001;01/02/2021;Monthly;Forecast Generation;2771010.0
LEMO-ECP001-METER001;01/03/2021;Monthly;Forecast Generation;3184640.0
LEMO-ECP001-METER001;01/04/2021;Monthly;Forecast Generation;2338720.0
LEMO-ECP001-METER001;01/05/2021;Monthly;Forecast Generation;2267190.0
LEMO-ECP001-METER001;01/06/2021;Monthly;Forecast Generation;1887770.0
LEMO-ECP001-METER001;01/07/2021;Monthly;Forecast Generation;2121020.0
LEMO-ECP001-METER001;01/08/2021;Monthly;Forecast Generation;2033940.0
LEMO-ECP001-METER001;01/09/2021;Monthly;Forecast Generation;2061930.0
LEMO-ECP001-METER001;01/10/2021;Monthly;Forecast Generation;2531540.0
LEMO-ECP001-METER001;01/11/2021;Monthly;Forecast Generation;2475560.0
LEMO-ECP001-METER001;01/12/2021;Monthly;Forecast Generation;3172200.0
SALL-ECP001-METER001;01/01/2021;Monthly;Forecast Generation;1955636.4
SALL-ECP001-METER001;01/02/2021;Monthly;Forecast Generation;1582399.8
SALL-ECP001-METER001;01/03/2021;Monthly;Forecast Generation;1641007.2
SALL-ECP001-METER001;01/04/2021;Monthly;Forecast Generation;1363393.2
SALL-ECP001-METER001;01/05/2021;Monthly;Forecast Generation;996325.8
SALL-ECP001-METER001;01/06/2021;Monthly;Forecast Generation;936176.1
SALL-ECP001-METER001;01/07/2021;Monthly;Forecast Generation;829757.4
SALL-ECP001-METER001;01/08/2021;Monthly;Forecast Generation;829757.4
SALL-ECP001-METER001;01/09/2021;Monthly;Forecast Generation;987072.0
SALL-ECP001-METER001;01/10/2021;Monthly;Forecast Generation;1286278.2
SALL-ECP001-METER001;01/11/2021;Monthly;Forecast Generation;1366477.8
SALL-ECP001-METER001;01/12/2021;Monthly;Forecast Generation;1648718.7
JON2-ECP001-METER001;01/01/2021;Monthly;Forecast Generation;2246786.1
JON2-ECP001-METER001;01/02/2021;Monthly;Forecast Generation;1430702.0
JON2-ECP001-METER001;01/03/2021;Monthly;Forecast Generation;1570852.4
JON2-ECP001-METER001;01/04/2021;Monthly;Forecast Generation;956234.5
JON2-ECP001-METER001;01/05/2021;Monthly;Forecast Generation;931416.2
JON2-ECP001-METER001;01/06/2021;Monthly;Forecast Generation;874480.1
JON2-ECP001-METER001;01/07/2021;Monthly;Forecast Generation;789805.9
JON2-ECP001-METER001;01/08/2021;Monthly;Forecast Generation;788346.0
JON2-ECP001-METER001;01/09/2021;Monthly;Forecast Generation;935795.9
JON2-ECP001-METER001;01/10/2021;Monthly;Forecast Generation;1216096.7
JON2-ECP001-METER001;01/11/2021;Monthly;Forecast Generation;1296391.2
JON2-ECP001-METER001;01/12/2021;Monthly;Forecast Generation;1562093.0
FIEN-ECP001-METER001;01/01/2022;Monthly;Forecast Generation;3327453.4128
FIEN-ECP001-METER001;01/02/2022;Monthly;Forecast Generation;2803265.5464
FIEN-ECP001-METER001;01/03/2022;Monthly;Forecast Generation;2618090.4849
FIEN-ECP001-METER001;01/04/2022;Monthly;Forecast Generation;1951460.2635
FIEN-ECP001-METER001;01/05/2022;Monthly;Forecast Generation;2045472.2178
FIEN-ECP001-METER001;01/06/2022;Monthly;Forecast Generation;1703610.5658
FIEN-ECP001-METER001;01/07/2022;Monthly;Forecast Generation;1749192.1194
FIEN-ECP001-METER001;01/08/2022;Monthly;Forecast Generation;1695064.0245
FIEN-ECP001-METER001;01/09/2022;Monthly;Forecast Generation;1891634.4744
FIEN-ECP001-METER001;01/10/2022;Monthly;Forecast Generation;2606695.0965
FIEN-ECP001-METER001;01/11/2022;Monthly;Forecast Generation;2863091.3355
FIEN-ECP001-METER001;01/12/2022;Monthly;Forecast Generation;3233441.4585
BVER-ECP001-METER001;01/01/2022;Monthly;Forecast Generation;2407290.8
